rank_b,rank_c,rank_m,loss,time
50,50,50,0.07565899938344955,0.5677413940429688
50,50,150,0.06421343982219696,0.5703649520874023
50,50,250,0.05496155098080635,0.5779879093170166
50,50,350,0.04830661043524742,0.5763399600982666
50,50,450,0.04396291449666023,0.5792386531829834
50,50,550,0.04262418672442436,0.5826122760772705
50,50,650,0.04233068972826004,0.5853867530822754
50,50,750,0.04230780154466629,0.5882163047790527
50,150,50,0.07009034603834152,0.5734410285949707
50,150,150,0.05815184488892555,0.5762596130371094
50,150,250,0.04951559379696846,0.5800454616546631
50,150,350,0.043213263154029846,0.5824360847473145
50,150,450,0.03905738890171051,0.5840837955474854
50,150,550,0.03787916526198387,0.5869126319885254
50,150,650,0.03803065046668053,0.5909574031829834
50,150,750,0.03779839724302292,0.5952036380767822
50,250,50,0.06784146279096603,0.5798969268798828
50,250,150,0.05651874840259552,0.5826623439788818
50,250,250,0.047700271010398865,0.5847282409667969
50,250,350,0.041491467505693436,0.5875418186187744
50,250,450,0.037597160786390305,0.5906388759613037
50,250,550,0.036253709346055984,0.593259334564209
50,250,650,0.03659360110759735,0.5970039367675781
50,250,750,0.036095116287469864,0.5998198986053467
50,350,50,0.06620178371667862,0.5855023860931396
50,350,150,0.054847970604896545,0.5888192653656006
50,350,250,0.046647779643535614,0.5910420417785645
50,350,350,0.0404624305665493,0.5937836170196533
50,350,450,0.03636745363473892,0.5966565608978271
50,350,550,0.03518826887011528,0.5989367961883545
50,350,650,0.0348280668258667,0.6029045581817627
50,350,750,0.03467592969536781,0.605435848236084
50,450,50,0.06560489535331726,0.5927364826202393
50,450,150,0.05432654172182083,0.594815731048584
50,450,250,0.04590598866343498,0.5978734493255615
50,450,350,0.03973802924156189,0.6017069816589355
50,450,450,0.035876207053661346,0.6037559509277344
50,450,550,0.03463960066437721,0.606391191482544
50,450,650,0.03459625318646431,0.609994649887085
50,450,750,0.03432146832346916,0.6118659973144531
50,550,50,0.06554532051086426,0.597937822341919
50,550,150,0.054741162806749344,0.6017687320709229
50,550,250,0.045723672956228256,0.604555606842041
50,550,350,0.039232611656188965,0.6072285175323486
50,550,450,0.03549017012119293,0.6100544929504395
50,550,550,0.03437740355730057,0.6124505996704102
50,550,650,0.03403385728597641,0.6151137351989746
50,550,750,0.033955641090869904,0.6168930530548096
50,650,50,0.06522567570209503,0.6055862903594971
50,650,150,0.05406752601265907,0.6070983409881592
50,650,250,0.04568549618124962,0.6107299327850342
50,650,350,0.039359841495752335,0.6140682697296143
50,650,450,0.035335078835487366,0.6162064075469971
50,650,550,0.03411000594496727,0.6194114685058594
50,650,650,0.034044403582811356,0.6206376552581787
50,650,750,0.03400935232639313,0.6238620281219482
50,750,50,0.06490958482027054,0.6110386848449707
50,750,150,0.05435703322291374,0.6131784915924072
50,750,250,0.04582254961133003,0.6164605617523193
50,750,350,0.039352286607027054,0.6183695793151855
50,750,450,0.035164881497621536,0.6222255229949951
50,750,550,0.034172069281339645,0.6250424385070801
